"Name","Date","Open","High","Low","Close","Volume","OI"
SET,19761015,80.21,80.21,80.21,80.21,204540,0
SET,19761018,80.23,80.23,80.23,80.23,138100,0
SET,19761019,80.22,80.22,80.22,80.22,130830,0
SET,19761020,80.19,80.19,80.19,80.19,163820,0
SET,19761021,80.19,80.19,80.19,80.19,236550,0
SET,19761022,80.50,80.50,80.50,80.50,59630,0
SET,19761026,80.26,80.26,80.26,80.26,130320,0
SET,19761027,80.27,80.27,80.27,80.27,237930,0
SET,19761028,80.08,80.08,80.08,80.08,241210,0
SET,19761029,80.08,80.08,80.08,80.08,305180,0
SET,19761101,80.24,80.24,80.24,80.24,199530,0
SET,19761102,80.29,80.29,80.29,80.29,245600,0
SET,19761103,80.05,80.05,80.05,80.05,441590,0
SET,19761104,80.15,80.15,80.15,80.15,231600,0
SET,19761105,80.16,80.16,80.16,80.16,248010,0
SET,19761108,80.18,80.18,80.18,80.18,56350,0
SET,19761109,80.23,80.23,80.23,80.23,82990,0
SET,19761110,80.29,80.29,80.29,80.29,175290,0
SET,19761111,80.35,80.35,80.35,80.35,135890,0
SET,19761112,80.52,80.52,80.52,80.52,241520,0
SET,19761115,80.42,80.42,80.42,80.42,135510,0
SET,19761116,80.42,80.42,80.42,80.42,44450,0
SET,19761117,80.65,80.65,80.65,80.65,163280,0
SET,19761118,81.13,81.13,81.13,81.13,180470,0
SET,19761119,80.61,80.61,80.61,80.61,629960,0
SET,19761122,80.96,80.96,80.96,80.96,136450,0
SET,19761123,81.22,81.22,81.22,81.22,253670,0
SET,19761124,80.88,80.88,80.88,80.88,437750,0
SET,19761125,80.38,80.38,80.38,80.38,460950,0
SET,19761126,80.67,80.67,80.67,80.67,771520,0
SET,19761129,80.62,80.62,80.62,80.62,113430,0
SET,19761130,80.66,80.66,80.66,80.66,957050,0
SET,19761201,80.64,80.64,80.64,80.64,200500,0
SET,19761202,80.80,80.80,80.80,80.80,320300,0
SET,19761203,80.43,80.43,80.43,80.43,361410,0
SET,19761207,80.37,80.37,80.37,80.37,290150,0
